,Description,Accident Level
0,at level access scissor performed the sustaining activity drilling the drill to install the split when lifting the electrowelded mesh of square meters m x m weight kg approximately to the team s platform the assistant slips and feels a pain in the inner edge of the right knee,0
1,in general store while two store attendants removed the compartment a rubber mesh for material classification m x m x m kg of weight when lifted approx cm to position it against the edge of another mesh placed on the floor on a litter this slightly imprisons the index finger of the right hand of one of the assistants causing a minor cutting wound at the time of the accident the injured worker used leather gloves,0
2,being p m approximately in the nv in the tecnomin winery mr chagua bodeguero was alone cutting wires no with a grinder previously he had removed the protection guard from the disk of inches in diameter and adapted a disk of a crosscutter of approximately inches originating traumatic amputation of two fingers of the left hand,3
3,in bypass of level when the workers of the company incimet raul operator of bolter bolting team and rolando assistant retired after installing the support with helical bolt the pink team with a mesh overhanging the gable so the teacher tells his assistant to cut the mesh and the instant the assistant finished cutting the mesh it suddenly rises hitting his face causing the injury described,0
4,being approximately pm on the level cx bp in circumstances that the workers of the company rock performed the anchorage of the central pin for the anchoring of the drilling machine diamantina xrd bob cat the assistant cristian injured made the adjustment of the nut of the central bolt with the stilson key no simultaneously jose from the control panel made the movement of the rotation unit for the positioning of the clamp pin at that moment the frame is slid by pressing the thumb of the assistant s left hand against the stilson key causing the described injury due to the lack of securing the frame fixing bolts,1
5,at the el porvenir sub station at level when assembling a metal structure approximately kg with the support of a lifting system three operators try to accommodate the structure to anchor it on its base at this moment the metallic structure slides in the direction of the injured worker s right hand producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury at the time of the accident the operators made use of their safety gloves,0
6,in plant while doing work on geho pump reducer n when accompanying the rotation of the shaft of the reducer with a mixed key of the wrench crown hits against the housing of the geho pump attributing the union area of the fifth and fourth fingers of the welder s right hand causing the injury at the time of the accident the equipment was blocked and the employee used his leather gloves,0
7,when making the change of support of the vertical pump of zinc two mechanics raised a beam in h x m and kg one at each end and being at the height of the injured person s knee slips from his hands causing the injury described,0
8,on at pm when performing mag activity the employee murilo da silva when moving in the acquisition line came across a small drainage approximately cm wide with small gap as he traversed the drainage the employee rested his right foot on the ravine that came to rest causing the right ankle to twist soon after the twisting the activities were paralyzed and the employee was taken to the local hospital where an x ray was taken and an examination made by the physician no serious injury was found only a small swelling then released to normal activities,0
9,being approximately hours of during the change of cables between the z power cell locked cabinet and the z transformer there is a loud noise followed by an oscillation of the electrical system at that moment the collaborator queneche of the company eissa is found on the floor with his head inside an adjoining cell z cabinet not blocked where he was not assigned to do any work after having received an electric shock,3
10,the collaborator completed the misalignment of the nut on the left side of the chute scraper of strip no when he gets up he turns and hits the head guard with the railing hitting the lenses generating the injury,0
11,team of the vms project performed soil collection on the xix s target with members when the teams were moving from one collection point to another mr fabio was ahead of the team stinging behind robson and manoel da silva near the collection point were surprised by a swarm of bees that was inside a i play near the ground with no visibility in the woods and no hissing noise fabio passed by the stump but robson and manoel da silva were attacked by the bees robson had a sting in his left arm over his uniform and manoel da silva had a prick in his lip as his screen ripped as he tangled in the branches during the escape,0
12,employee reports that by removing the zinc sheet from the cathode to take it to the easel it slipped from his hand fell and hit his left foot,0
13,approx pm mr victor at the time he made a visual inspection of scaffolding suffered a slight blow to the level of the right ear with the metallic extension of the chute of the conveyor chain,0
14,after completing the welding work on the backhoe bucket made for hours during which he used glass moon the welder feels a slight discomfort in the eyes so he is transferred to the medical service for evaluation during the accident the welder used facial mask for welding,0
